Name,San Francisco County,Alameda County,San Mateo County,Contra Costa County,Santa Clara County,County,Category,Black Owned,LGBTQ,Women,Who Applies,100 or fewer employees,500 or fewer employees,750 or fewer employees,750 or more,Type of Relief,Award Type,Award Amount Specified,Max Award Amount,Interest Rate Applicable,Interest rate,Type of Support,Public or Private (Grant Provider),Type Entity Offering Support,Name of Entity,Is there a Deadline,Deadline,Possible Additional Stage of Funding?,English,Spanish,Chinese,Website,Other Details,Date Added,Added By,Date Reviewed/updated,Reviewed By,Review Notes,Expired,Archive
Oakland Repair Fund,No,Yes,No,Unknown,No,Some,Multiple,Yes,No,No,Unknown,Yes,No,No,No,Protest Damage,One-Time,Yes,$600,No,,Grant,Private,Non-Profit,Oakland Indie Alliance,Unknown,,,Yes,No,No,http://www.oaklandindiealliance.com/repair-apply,,6/7/2020,Emily Kasa,6/22/2020,Dee Jomo,,No,
OBBF Relief and Recovery Fund,No,No,No,No,No,Some,All,Yes,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,No,,,,Grant,Private,Non-Profit,Oakland Black Business Fund,Unknown,,Unknown,Yes,No,No,https://oaklandblackbusinessfund.org/about/,,,,,,,,
One Fair Wage Emergency Fund,,,,Unknown,Unknown,Unknown,Hospitality,No,No,No,Individuals Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,One Fair Wage,Unknown,,,Yes,Yes,No,https://ofwemergencyfund.org/help,,6/17/2020,Emily Kasa,7/15/2020,Marshall Fisher,Link looks like a compilation of resources,No,
Opportunity Fund Working Capital Loans,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$250,000",Yes but not Reported,,Loan,Private,Non-Profit,Opportunity Fund,No,,,Yes,Yes,Unknown,https://www.opportunityfund.org/get-a-loan/,,6/10/2020,Jonah Bleckner,6/30/2020,Seth Puckett,,No,
Pandemic Unemployment Assistance (PUA),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Insurance,Public ,Government,State Gov,Unknown,,,Yes,Yes,Yes,https://www.edd.ca.gov/about_edd/coronavirus-2019/pandemic-unemployment-assistance.htm,,6/5/2020,Emily Kasa,6/10/20,Ravi Patel,,No,
Paycheck Protection Program (PPP),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Yes,Yes,Unknown,Unknown,Both,One-Time,Yes,"$2,000,000",Yes but not Reported,,Loan,Public,Government,U.S. Small Business Association (SBA),Yes,5/31/2021,Unknown,Yes,No,No,https://www.sba.gov/funding-programs/loans/covid-19-relief-options/paycheck-protection-program,First Draw and Second Draw PPP loans available,5/19/2021,Isabel Verghese,,,,,
Performing Arts Worker Relief Fund,Yes,No,No,No,No,Some,Arts,No,No,No,Individuals Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,No,,No,,Grant,Private,Private,Theatre Bay Area,Unknown,,Yes,,,,https://www.theatrebayarea.org/page/COVID-19relief-fund#Apply,,5/19/2021,Rocio Ng,,,,,
Pleasanton Business Assistance Program,No,Yes,No,No,No,Some,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",Yes and Reported,0,Loan,Public,Government,City of Pleasanton,Unknown,,,Yes,Unknown,Unknown,http://www.cityofpleasantonca.gov/gov/depts/ed/covid_19_business_support/pleasanton_business_assistance_program.asp,,7/1/2020,Seth Puckett,,,,No,
Pleasanton Business Assistance Program,No,Yes,No,No,No,Some,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$20,000",Yes and Reported,0,Loan,Public,Government,City of Pleasanton,Unknown,,,Yes,Unknown,Unknown,http://www.cityofpleasantonca.gov/gov/depts/ed/covid_19_business_support/pleasanton_business_assistance_program.asp,,7/1/2020,Seth Puckett,,,,No,
Rapid Response Liquidity Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,COVID,One-Time,No,,Yes and Reported,0,Loan,Private,Private,ICA,No,,Unknown,Yes,No,No,https://www.ica.fund/rapid-response#FAQ,,7/16/2021,Rocio Ng,,,,,
Recycling Market Development Revolving Loan Program,No,No,No,Yes,No,Some,Environment,No,No,No,All,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,One-Time,Yes,"$2,000,000",No,,Loan,Public,Government,The Department of Resources Recycling and Recovery (CalRecycle) ,Unknown,,,Yes,Unknown,Unknown,https://www.calrecycle.ca.gov/rmdz/loans,,10/13/2021,ChuHui Fu,,,,,
Redwood City Small Business Relief Fund,No,No,Yes,No,No,Some,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Private,Brett Weber,No,,,Yes,Yes,Yes,https://www.gofundme.com/f/redwood-city-small-business-relief-fund,,6/10/2020,Megan Gentes,7/15/2020,Marshall Fisher,,No,
Regional Nonprofit Emergency Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Non-Profits Only,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Public,Non-Profit,Silicon Valley Community Foundation,Unknown,,,Yes,Yes,Yes,https://www.siliconvalleycf.org/regional-nonprofit-emergency-fund,,7/6/2020,Seth Puckett,,,,No,
Research in Transforming Health and Health Care Systems,Yes,Yes,Yes,Yes,Yes,All,Healthcare,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$350,000",No,,Grant,Private,Private,Robert Wood Johnson Foundation,Yes,6/28/2021,,Yes,No,No,https://www.rwjf.org/en/library/funding-opportunities/2021/research-in-transforming-health-and-health-care-systems.html,,5/19/2021,Greg Boyer,,,,,
Restaurant Revitalization Fund,Yes,Yes,Yes,Yes,Yes,All,Hospitality,Yes,No,Yes,Businesses Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,No,,Unknown,,Grant,Public,Government,U.S. Small Business Association (SBA),Unknown,,,Yes,No,No,https://www.sba.gov/funding-programs/loans/covid-19-relief-options/restaurant-revitalization-fund,,5/19/2021,Emily Kasa,01/26/21,Rocio Ng,,,
Restoration & Resilience COVID Recovery Fund,Yes,Yes,Yes,Yes,Yes,All,Environment,No,No,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$2,500",No,,Grant,Private,Private,THE NATIONAL ENVIRONMENTAL EDUCATION FOUNDATION (NEEF),Yes,6/1/2021,Yes,Yes,No,No,https://www.neefusa.org/grants/2021/restoration-resilience-fund,,5/19/2021,Rocio Ng,,,,,
Salesforce San Francisco Small Business Grant program,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Private,Salesforce,Yes,10/17/2021,No,Yes,No,No,https://essentials.salesforce.com/form/sfsmallbizgrants/,,10/13/2021,Adam Cobb,,,,,
San Francisco Artist Grant,Yes,No,No,No,No,Some,Arts,No,No,No,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,Yes,"$20,000",No,,Grant,Public,Non-Profit,San Francisco Arts Commission,Yes,11/10/2021,No,Yes,Yes,Yes,https://www.sfartscommission.org/content/san-francisco-artist-grant-0,,10/13/2021,Adam Cobb,,,,,
San Francisco Emerging Business Loan Fund,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$250,000",Yes and Reported,0.0775,Loan,Public,Government,Main Street Launch,No,,Unknown,Yes,No,No,https://oewd.org/grants-and-loans-programs#_Fa%C3%A7ade_Grants,,10/13/2021,Ian Colrick,,,,,
San Francisco Small Business Revolving Loan Fund,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,COVID,Recurring,Yes,"$50,000",Yes and Reported,0.035,Loan,Public,Government,Main Street Launch,No,,Unknown,Yes,No,No,https://oewd.org/grants-and-loans-programs#_Fa%C3%A7ade_Grants,,10/13/2021,Ian Colrick,,,,,
San Francisco’s D10 Small Business Revolving Loan Fund,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0.05,Loan,Private,Private,Working Solutions,Unknown,,Unknown,Yes,No,No,https://www.workingsolutions.org/loan-program,rolling basis,5/19/2021,Isabel Verghese,7/16/21,Rocio Ng,updated link and interest,No,
San Mateo County Small Business Grant,No,No,Yes,No,No,Some,All,No,No,No,All,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,No,,No,,Grant,Public,Non-Profit,San Mateo County Strong,Yes,10/15/2022,Unknown,Yes,Yes,Yes,https://www.smcstrong.org/applyforfunding,,10/13/2021,Adam Cobb,,,,,
SBA 8(a) Program,Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,No,Businesses Only,Yes,No,No,No,Both,Recurring,No,,No,,Grant,Public,Government,U.S. Small Business Association (SBA),Yes,,,Yes,No,No,https://www.sba.gov/federal-contracting/contracting-assistance-programs/8a-business-development-program,,6/17/2020,Charles Beta,,,,No,
SBA COVID-19 Economic Injury Disaster Loan,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$2,000,000",Yes and Reported,0.0375,Loan,Public,Government,U.S. Small Business Administration,Yes,12/31/2021,No,Yes,Yes,Yes,https://www.sba.gov/funding-programs/loans/covid-19-relief-options/eidl/covid-19-eidl,,10/13/2021,Ian Colrick,,,,,
SF Community Investment Loan,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Other,One-Time,Yes,"$250,000",Unknown,,Loan,Public,Government,City of San Francisco,Unknown,,Unknown,Yes,No,No,https://oewd.org/businesses-impacted-covid-19#ACTIVE%20Loans%20section,ANNOUNCED,5/19/2021,Isabel Verghese,,,,,
SF New Deal Debt Relief,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$2,500",No,,Grant,Private,Non-Profit,SF New Deal,Yes,6/30/2021,,Yes,Yes,Yes,https://sfnewdeal.org/debt-relief,"The business has 3 or fewer locations. Preference will be given to businesses with at least 3 (Full Time Equivalent) employees. The business had 2019 (pre-pandemic) revenue of less than $3M annually.",6/16/2021,Humza Rabbani,,,,,
SFF COVID-19 Emergency Response Fund,Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,Yes,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$25,000",No,,Grant,Private,Non-Profit,San Francisco Foundation,No,,Yes,Yes,No,No,https://sff.org/for-nonprofits-apply-for-a-grant-from-the-sff-covid-19-emergency-response-fund/,rolling,10/24/2021,Emily Kasa,,,,,
Shea Moisture Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Non-Profit,Shea Moisture,No,,,Yes,Unknown,Unknown,https://www.sheamoisturefund.com/about-1,,6/17/2020,Dee Jomo,7/15/2020,Marshall Fisher,,No,
Shuttered Venue Operators Grant,Yes,Yes,Yes,Yes,Yes,Yes,Entertainment,No,No,No,Businesses Only,Yes,No,No,No,Other,One-Time,Yes,"$10,000,000",No,,Grant,Public,Government,U.S. Small Business Association (SBA),No,,Yes,Yes,Yes,Yes,https://www.svograntportal.sba.gov/s/,Grants on a rolling basis,5/19/2021,Rocio Ng,,,,,
Silicon Valley Small Business Relief Fund,Yes,Yes,Yes,Yes,Yes,Some,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,Unknown,,Grant,Private,Non-Profit,Silcon Valley Community Foundation,No,,,Yes,Unknown,Unknown,https://www.siliconvalleycf.org/small-business-relief-fund,Loans also available,6/10/2020,Dee Jomo,6/24/2020,Seth Puckett,,No,
Silicon Valley Strong Fund,No,No,No,No,Yes,Some,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Public,Non-Profit,Silicon Valley Strong,Unknown,,,Yes,Yes,Yes,https://siliconvalleystrong.org/donate/,,7/6/2020,Seth Puckett,,,,No,
Small Business Assistance Grant Program - City of Santa Clara,No,No,No,No,Yes,Some,All,No,No,No,All,Yes,No,No,No,COVID,One-Time,Yes,"$5,000",Unknown,,Grant,Public,Government,City of Santa Clara,Yes,9/7/2021,,Yes,Yes,Yes,https://www.svsbdc.org/sc-covid-grant/,"Round 1 Grant Application is now closed, but stay connected for updates on possible continuing rounds.",6/10/2020,Julie Wiederhold,9/8/2021,Lisa Lu,Updated the link and deadline.,No,
SoGal Black Founder Startup Grant,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,All,Yes,No,Yes,Businesses Only,Unknown,Unknown,Unknown,Unknown,Other,One-Time,No,,,,Grant,Private,Private,SoGal,No,,Yes,Yes,No,No,http://www.iamsogal.com/black-founder-startup-grant/,,5/19/2021,,,,,,
SoOakland,No,Yes,No,No,No,Some,All,Yes,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$2,000",No,,Grant,Private,Non-Profit,SoOakland,Unknown,,,Yes,No,No,http://www.sooakland.com/sooakland-foundation,,6/17/2020,Emily Kasa,7/15/2020,Marshall Fisher,Business must be based in Oakland,No,
South Asian Resilence Fund,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$1,000",No,,Grant,Private,Non-Profit,Indian Center Foundation,Unknown,,,Yes,No,No,https://indiacenter.formstack.com/forms/artsfund,,6/17/2020,Dee Jomo,,,,No,
Stipends Available for Child Care Providers,No,Yes,No,No,No,Some,,,,,Individuals Only,Yes,,,,Other,Recurring,Yes,,No,,,Public,Non-Profit,4Cs of Alameda County,Unknown,,,,,,https://4c-alameda.org/parents-families/child-care-for-essential-workers/,,10/13/2021,,,,,,
Storefront Vandalism Relief Grant ,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Yes,Yes,Yes,Yes,Both,One-Time,Yes,"$2,000",No,,Grant,Public,Government,SF Office of Economic and Workforce Development,No,,Yes,Yes,No,No,https://oewd.org/storefront-vandalism-relief-grant,,10/13/2021,Rocio Ng,,,,,
Supplemental Targeted EIDL Advance,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$5,000",No,,Grant,Public,Government,U.S. Small Business Administration,Yes,12/31/2021,No,Yes,Yes,Yes,https://www.sba.gov/funding-programs/loans/covid-19-relief-options/eidl/targeted-eidl-advance-supplemental-targeted-advance,,10/13/2021,Ian Colrick,,,,,
Sweet Relief Musicians Fund,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Individuals Only,Yes,No,No,No,COVID,One-Time,No,,No,,Grant,Public,Non-Profit,Sweet Relief Musicians Fund,Unknown,,Unknown,Yes,No,No,https://www.sweetrelief.org/get-assistance.html,,10/24/2021,Emily Kasa,,,,,
Targeted EIDL Advance,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Public,Government,U.S. Small Business Administration,Yes,12/31/2021,No,Yes,Yes,Yes,https://www.sba.gov/funding-programs/loans/covid-19-relief-options/eidl/targeted-eidl-advance-supplemental-targeted-advance,,10/13/2021,Ian Colrick,,,,,
The Doonie Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Both,Recurring,No,,No,,Grant,Private,Non-Profit,Digitalundivided,Unknown,,,Yes,Yes,No,https://www.digitalundivided.com/the-doonie-fund,Black and Latinx only,6/17/2020,Dee Jomo,,,,No,
The RADx-UP CDCC Community Collaboration Mini-Grant Program,Yes,Yes,Yes,Yes,Yes,All,Healthcare,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,No,"$50,000",No,,Grant,Public,Government,RADx-UP,Yes,10/22/2021,,Yes,Yes,Yes,https://radx-up.org/apply-for-grant/?open=grant,,5/19/2021,Greg Boyer,,,,,
The Red Backpack Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$5,000",No,,Grant,Private,Non-Profit,,Yes,8/31/2020,,Yes,Yes,Yes,https://www.globalgiving.org/redbackpackfund/,,6/17/2020,Dee Jomo,,,,Yes,
The your Friends in New York Business Relief Fund,Yes,Yes,Yes,Yes,Yes,Unknown,Multiple,Yes,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,"$5,000",No,,Grant,Private,Non-Profit,Pyer Moss,Unknown,,,Yes,Yes,Yes,http://yourfriendsin.nyc/survey.html,,6/17/2020,Dee Jomo,,,,No,
Trans Lifeline Microgrants,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,All,No,Yes,No,Individuals Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,One-Time,No,,No,,Grant,Public,Private,Trans Lifeline ,No,,,Yes,No,No,https://www.translifeline.org/microgrants,"Our microgrants cover all the required fees pertaining to court order name changes, publication fees, and document fees. We cover passports, driver's licenses, state IDs, and Tribal IDs.",6/29/2020,Emily Kasa,,,,No,
U.S. Department of Health and Human Services: Community Mental Health Centers Grant Program,Yes,Yes,Yes,Yes,Yes,All,Healthcare,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,Recurring,No,"$2,500,000",No,,Grant,Public,Government,Substance Abuse and Mental Health Services Administration,Yes,5/21/2021,,Yes,Yes,Yes,https://www.samhsa.gov/grants/grant-announcements/sm-21-014,,5/19/2021,Greg Boyer,,,,,
UCB Community Health Fund,Yes,Yes,Yes,Yes,Yes,All,Healthcare,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$50,000",,,Grant,Private,Private,King Baudouin Foundation,Yes,7/15/2021,,Yes,No,No,https://www.kbs-frb.be/en/Activities/Calls/2021/2020_07_13_AD,,5/19/2021,Greg Boyer,,,,,
"UNTITLED, ART EMERGENCY FUND",Yes,Yes,No,Yes,Yes,All,Arts,No,No,No,Individuals Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,Yes,$250,No,,Grant,Private,Private,The Art Report,No,,,,,,https://docs.google.com/document/d/e/2PACX-1vT-SQ2GcGX4gGduGz29HuK6FgzYiCj586nd1PkrWMIj97meycTIRyQZAAX7mgmeJHHgTdl3MgeP2239/pub,,5/19/2021,Rocio Ng,,,,,
USA Small Business Administration,Yes,Yes,Yes,No,Yes,All,All,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$25,000",No,0,Loan ,Public ,Government,Federal Gov,Unknown,,,Yes,No,No,https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/sba-express-bridge-loans,"Enables small businesses who currently have a business relationship with an SBA Express Lender to access up to $25,000 quickly. See here https://www.sba.gov/document/support--express-bridge-loan-pilot-program-guide",6/5/2020,Emily Kasa,6/10/20,Ravi Patel,,No,
USDA Direct Operating Microloan,Yes,Yes,Yes,Yes,Yes,All,Agriculture,No,No,No,Businesses Only,Yes,No,No,No,Other,One-Time,Yes,"$50,000",Yes and Reported,0.0175,Loan,Public,Government,USDA,No,,Unknown,Yes,No,No,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,,10/13/2021,Emily Kasa,,,,,
"USDA Pandemic Response and Safety
Grant Program",Yes,Yes,Yes,Yes,Yes,All,Agriculture,No,No,No,Businesses Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,COVID,One-Time,No,,No,,Grant,Public,Government,USDA,Yes,11/22/2021,Unknown,Yes,No,No,https://usda-prs.grantsolutions.gov/usda,,10/13/2021,Rocio Ng,,,,,
Verizon Small Business Recovery Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",Unknown,,Grant,Private,Private,Verizon,Unknown,,,Yes,Yes,Unknown,https://www.verizon.com/pay-it-forward-live/?CMP=OLA_SMB_OTH_22222_NA_20200325_NA_NM20200057_00001,https://www.lisc.org/covid-19/small-business-assistance/small-business-relief-grants/verizon-small-business-recovery-fund/,6/17/2020,Dee Jomo,,,,No,
Volant Charitable Trust: COVID-19 Response Fund,Yes,Yes,Yes,Yes,Yes,All,Healthcare,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,No,,,,Grant,Private,Private,Volan Trust,Yes,7/31/2021,,Yes,No,No,https://www.volanttrust.org/how-to-apply-covid-19/,,5/19/2021,Greg Boyer,,,,,
Working Solutions CDFI,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,Other,Recurring,Yes,"$50,000",No,,Loan,Public,Non-Profit,Working Solutions CDFI,No,,Yes,Yes,No,No,https://www.workingsolutions.org/,,,,,,,,
Zellerbach Communite Arts COVID Response Grants,Yes,Yes,Yes,Yes,Yes,All,Arts,No,No,No,Non-Profits Only,Yes,Yes,Yes,Yes,COVID,One-Time,Yes,"$15,000",No,,Grant,Private,Private,Zellerbach Family Foundation,,12/20/2021,,Yes,No,No,https://zff.org/ca-covid-response-grants/,,5/19/2021,Greg Boyer,,,,,
SBA 7 (a) Loan,Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Other,One-Time,No,,Yes and Reported,,Loan,Public,Government,U.S. Small Business Administration ,No,,No,Yes,Unknown,Unknown,https://www.sba.gov/funding-programs/loans/7a-loans,,,Ti,,,,,
SBA 504 Loan,Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Other,One-Time,Yes,"$5,000,000",Yes and Reported,,Loan,Public,Government,U.S. Small Business Administration ,No,,No,Yes,Unknown,Unknown,https://www.sba.gov/funding-programs/loans/504-loans,,,,,,,,
SBA Microloan (via SBA-approved lenders),Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,All,Unknown,Unknown,Unknown,Unknown,Other,One-Time,Yes,"$50,000",Yes and Reported,,Loan,Public,Government,U.S. Small Business Administration ,No,,No,Yes,Unknown,Unknown,https://www.sba.gov/funding-programs/loans/microloans,,,,,,,,
Small Business Relief MicroGrant Program,No,No,No,Yes,No,Some,All,No,No,No,Individuals Only,Yes,No,No,No,COVID,One-Time,Yes,"$5,000",No,,Grant,Public,Government,City of Martinez,Yes,4/26/2021,Yes,Yes,No,No,https://www.cityofmartinez.org/depts/econdev/small_business_relief_microgrant_program.asp,,,,,,,,
Public Beauty Association COVID-19 relief fund,Yes,Yes,Yes,Yes,Yes,All,Personal Care Services,No,No,No,Individuals Only,Yes,No,No,No,COVID,One-Time,Yes,$500,No,,Grant,Private,Private,Public Beauty Association,No,,Yes,Yes,No,No,https://www.probeauty.org/pba-charities/covid-19-relief-fund/landing-covid-19-relief-fund,,1/26/2022,Amelie Schaefer,,,,,
Apply Now for Uber Eats & Visa's Small Business Grant,Yes,Yes,Yes,Yes,Yes,All,Hospitality,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Private,Uber,,,,,,,,,,,,,,,
Walmart Local Community Grants,Yes,Yes,Yes,Yes,Yes,All,,No,No,No,Non-Profits Only,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,One-Time,Yes,"$5,000",No,,Grant,Private,Private,Walmart / Sams Club,No,,,Yes,No,No,https://walmart.org/how-we-give/local-community-grants,,,,,,,,
KKR Small Business Builders,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,No,No,Unknown,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Private,"KKR, Hello Alice",Yes,10/15/2021,Yes,Yes,No,No,https://kkr.helloalice.com/,"Preference will be given to historically underrepresented business owners: POC, women, LGBTQ+, with disabilities, etc. ",1/26/2022,Amelie Schaefer,,,,,
FedEx Small Business Grant contest,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,No,No,No,Other,One-Time,Yes,"$50,000",No,,Grant,Private,Private,FedEx,Yes,2/28/2022,Yes,Yes,No,No,https://www.fedex.com/en-us/small-business/grant-contest.html,,1/26/2022,Amelie Schaefer,,,,,
Inclusive Backing Main Street America,Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,Yes,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$5,000",No,,Grant,Private,Private,Main Street America,Yes,11/29/2021,Yes,Yes,No,No,https://www.mainstreet.org/howwecanhelp/inclusivebacking,"businesses owned by a person with a disability or person of Asian American or Pacific Islander descent, <20 employees",1/26/2022,Amelie Schaefer,,,,,